Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,086282,2009,05,7.6,Y
IDCJAC0004,086282,2009,06,6.1,Y
IDCJAC0004,086282,2009,07,5.8,Y
IDCJAC0004,086282,2009,08,7.4,Y
IDCJAC0004,086282,2009,09,7.8,Y
IDCJAC0004,086282,2009,10,8.0,Y
IDCJAC0004,086282,2009,11,13.8,Y
IDCJAC0004,086282,2009,12,12.7,Y
IDCJAC0004,086282,2010,01,13.9,Y
IDCJAC0004,086282,2010,02,15.9,Y
IDCJAC0004,086282,2010,03,14.4,Y
IDCJAC0004,086282,2010,04,12.4,Y
IDCJAC0004,086282,2010,05,7.9,Y
IDCJAC0004,086282,2010,06,6.0,Y
IDCJAC0004,086282,2010,07,5.3,Y
IDCJAC0004,086282,2010,08,5.5,Y
IDCJAC0004,086282,2010,09,6.8,Y
IDCJAC0004,086282,2010,10,8.4,Y
IDCJAC0004,086282,2010,11,11.1,Y
IDCJAC0004,086282,2010,12,11.9,Y
IDCJAC0004,086282,2011,01,15.0,Y
IDCJAC0004,086282,2011,02,14.3,Y
IDCJAC0004,086282,2011,03,12.8,Y
IDCJAC0004,086282,2011,04,9.3,Y
IDCJAC0004,086282,2011,05,7.7,Y
IDCJAC0004,086282,2011,06,6.2,Y
IDCJAC0004,086282,2011,07,5.6,Y
IDCJAC0004,086282,2011,08,6.6,Y
IDCJAC0004,086282,2011,09,7.1,Y
IDCJAC0004,086282,2011,10,9.0,Y
IDCJAC0004,086282,2011,11,12.0,Y
IDCJAC0004,086282,2011,12,12.2,Y
IDCJAC0004,086282,2012,01,14.8,Y
IDCJAC0004,086282,2012,02,14.4,Y
IDCJAC0004,086282,2012,03,12.6,Y
IDCJAC0004,086282,2012,04,9.9,Y
IDCJAC0004,086282,2012,05,7.7,Y
IDCJAC0004,086282,2012,06,5.9,Y
IDCJAC0004,086282,2012,07,5.9,Y
IDCJAC0004,086282,2012,08,5.9,Y
IDCJAC0004,086282,2012,09,7.3,Y
IDCJAC0004,086282,2012,10,8.0,Y
IDCJAC0004,086282,2012,11,10.9,Y
IDCJAC0004,086282,2012,12,12.5,Y
IDCJAC0004,086282,2013,01,13.7,Y
IDCJAC0004,086282,2013,02,15.3,Y
IDCJAC0004,086282,2013,03,14.7,Y
IDCJAC0004,086282,2013,04,10.3,Y
